type,model,variable,bias,loa_upper,loa_lower,bias_ci_lower,bias_ci_upper,loa_upper_ci_lower,loa_upper_ci_upper,loa_lower_ci_lower,loa_lower_ci_upper
raw,neural_network,diff_spt,-3.890517241379315,104.930235581353,-112.71127006411162,-8.097962179363677,0.8940722708975638,94.13062722833908,118.39919992990924,-121.97747305143504,-105.17310693808572
raw,neural_network,diff_tst,-153.95344827586206,-10.875193188165696,-297.03170336355845,-159.8618966665638,-147.9990411366951,-20.022015274443444,-0.4876751648265034,-308.5680186638481,-286.98196192732615
raw,neural_network,diff_se,-25.589269940544447,-2.981999427729498,-48.1965404533594,-26.53472291998134,-24.663732601586695,-4.479429776813146,-1.168588192574943,-50.028212734100705,-46.64206281133861
raw,neural_network,diff_lps,34.31637931034483,136.36279455138668,-67.73003593069701,30.170499705271748,38.58208147744713,126.40245529457071,149.3026900846287,-80.05616467295138,-60.457220108058486
raw,neural_network,diff_waso,58.70431034482758,141.2236330778926,-23.81501238823744,55.39472681492365,62.05842284935911,133.9010139294826,155.55715159561674,-33.9208364063667,-17.502627613176447
raw,xgboost,diff_spt,0.2068965517241351,97.78143062381989,-97.36763752037164,-3.662068965517246,4.472175986538551,86.64765771442471,110.97611333706936,-106.22602044276633,-90.30356808168662
raw,xgboost,diff_tst,-66.03275862068965,46.066028987864456,-178.13154622924375,-70.7698275862069,-61.38985801900246,38.8916586015516,54.50757196196437,-187.92283968272207,-169.61294300667342
raw,xgboost,diff_se,-11.118000318746112,6.533423881951133,-28.76942451944336,-11.846031999450734,-10.37563448038108,5.469922153873619,7.703394654344156,-30.207703791336193,-27.4722068511262
raw,xgboost,diff_lps,34.48103448275862,131.3361519801212,-62.37408301460395,30.574191064162168,38.53696530199978,121.0572097131806,143.94060140455355,-75.8456400856347,-55.20297318131194
raw,xgboost,diff_waso,18.374137931034483,86.8994214870477,-50.15114562497874,15.633625200330746,21.225177531296342,79.81827637476715,104.15631474795671,-62.74283381702143,-43.07918400482186
median5,biLSTM,diff_spt,-36.05729166666667,63.96976028557323,-136.0843436189066,-41.743886584079966,-30.047932560258253,51.11264324531229,78.63006419151944,-146.2719583837083,-126.89221528081889
median5,biLSTM,diff_tst,12.815972222222223,105.77266270086687,-80.14071825642242,7.441366348218549,18.276248537977708,94.27258557319512,118.8074312869484,-89.7850763989683,-72.29979779963654
median5,biLSTM,diff_se,7.993676315518809,21.08977501773293,-5.10242238669531,7.227502668549826,8.772609567064574,19.50671595210432,23.108013136740887,-6.79665551213786,-3.798454079939211
median5,biLSTM,diff_lps,-15.65451388888889,137.64163091837952,-168.9506586961573,-25.908883168760987,-7.457199557345277,101.11586654365023,184.91406194730718,-230.70362404934642,-127.8668408552633
median5,biLSTM,diff_waso,-3.0086805555555554,138.05725487460867,-144.07461598571976,-9.887925135608892,7.705027124052629,90.76047447643448,211.41467513585496,-197.1917898917943,-107.2199370998155
median5,decision_tree,diff_spt,-21.64051724137931,74.19618634192686,-117.47722082468547,-25.616602410382857,-17.627745917369424,63.94027044292813,85.88419883199988,-125.56939761781634,-110.6676568612924
median5,decision_tree,diff_tst,-50.50862068965517,60.393170204417395,-161.41041158372772,-55.24057708502487,-46.02542330884715,51.50425126441778,71.65332369669996,-175.75975084817838,-151.25738160780276
median5,decision_tree,diff_se,-5.511653805087401,12.92233829369466,-23.945645903869465,-6.308501467793837,-4.739557391111368,11.62162805691868,14.618333229108028,-26.373333643732728,-22.16826117367609
median5,decision_tree,diff_lps,24.60948275862069,138.04263300485735,-88.82366748761598,19.68324584109387,29.09084191530158,126.22233772407547,156.690863696123,-115.02823787399376,-77.26691416960787
median5,decision_tree,diff_waso,9.868103448275862,99.17768311888555,-79.44147622233383,6.542029834003985,14.037788380341564,79.99145081564956,136.07604437071967,-109.02083067120287,-63.06552831966765
median5,logistic_regression,diff_spt,-3.693436960276339,104.83415474746744,-112.22102866802012,-8.042314335060446,0.9974093264248748,94.02510292139004,117.44436758111728,-120.9433562448384,-105.23860203425242
median5,logistic_regression,diff_tst,-139.71070811744386,26.22787611033789,-305.6492923452256,-146.91614899075034,-133.0310264586302,16.085992716221302,38.63777381659568,-323.57406670604814,-291.83855620059063
median5,logistic_regression,diff_se,-23.18192498576474,1.717951904043609,-48.08180187557309,-24.252433555505625,-22.17568571211551,0.0519243519216452,3.8439990363925496,-50.908545226891874,-46.05317872169291
median5,logistic_regression,diff_lps,58.14075993091537,168.56188494874107,-52.28036508691033,53.370066518493616,62.63260663651544,155.8910244858781,187.7134304746431,-74.96693432011966,-40.11507397388974
median5,logistic_regression,diff_waso,45.41450777202073,141.47934947739935,-50.650333933357885,41.718515940371944,49.72987453755242,126.76321376745592,172.96035699495638,-74.40345008507556,-38.38481130312685
median5,neural_network,diff_spt,-3.890517241379315,104.930235581353,-112.71127006411162,-8.097962179363677,0.8940722708975638,94.13062722833908,118.39919992990924,-121.97747305143504,-105.17310693808572
median5,neural_network,diff_tst,-126.45431034482758,23.88286944131468,-276.7914901309698,-132.76057537523783,-120.25710634757372,14.798758510916604,33.856562257010594,-291.3114361413466,-264.6645353967542
median5,neural_network,diff_se,-20.913760806082045,2.453983535247662,-44.28150514741175,-21.887357964159673,-19.943628587296605,1.090775489203512,3.9739190710161423,-46.290912952461305,-42.45343610286035
median5,neural_network,diff_lps,35.3448275862069,146.4782522188773,-75.78859704646351,30.677442148061314,39.76843647388891,134.41599761728838,166.8889616615225,-102.28615604955922,-63.42004965439923
